STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
SFJ,D,41,M FLOW,20020807 0000,20020807 0000,24, ,CFS
SFJ,D,41,M FLOW,20020808 0000,20020808 0000,22, ,CFS
SFJ,D,41,M FLOW,20020809 0000,20020809 0000,20, ,CFS
SFJ,D,41,M FLOW,20020810 0000,20020810 0000,18, ,CFS
SFJ,D,41,M FLOW,20020811 0000,20020811 0000,17, ,CFS
SFJ,D,41,M FLOW,20020812 0000,20020812 0000,17, ,CFS
SFJ,D,41,M FLOW,20020813 0000,20020813 0000,16, ,CFS
SFJ,D,41,M FLOW,20020814 0000,20020814 0000,16, ,CFS
SFJ,D,41,M FLOW,20020815 0000,20020815 0000,16, ,CFS
SFJ,D,41,M FLOW,20020816 0000,20020816 0000,17, ,CFS
SFJ,D,41,M FLOW,20020817 0000,20020817 0000,17, ,CFS
SFJ,D,41,M FLOW,20020818 0000,20020818 0000,17, ,CFS
SFJ,D,41,M FLOW,20020819 0000,20020819 0000,16, ,CFS
SFJ,D,41,M FLOW,20020820 0000,20020820 0000,13, ,CFS
SFJ,D,41,M FLOW,20020821 0000,20020821 0000,13, ,CFS
SFJ,D,41,M FLOW,20020822 0000,20020822 0000,13, ,CFS
SFJ,D,41,M FLOW,20020823 0000,20020823 0000,13, ,CFS
SFJ,D,41,M FLOW,20020824 0000,20020824 0000,12, ,CFS
SFJ,D,41,M FLOW,20020825 0000,20020825 0000,12, ,CFS
SFJ,D,41,M FLOW,20020826 0000,20020826 0000,12, ,CFS
SFJ,D,41,M FLOW,20020827 0000,20020827 0000,12, ,CFS
SFJ,D,41,M FLOW,20020828 0000,20020828 0000,11, ,CFS
SFJ,D,41,M FLOW,20020829 0000,20020829 0000,11, ,CFS
SFJ,D,41,M FLOW,20020830 0000,20020830 0000,11, ,CFS
SFJ,D,41,M FLOW,20020831 0000,20020831 0000,11, ,CFS
SFJ,D,41,M FLOW,20020901 0000,20020901 0000,11, ,CFS
SFJ,D,41,M FLOW,20020902 0000,20020902 0000,11, ,CFS
SFJ,D,41,M FLOW,20020903 0000,20020903 0000,11, ,CFS
SFJ,D,41,M FLOW,20020904 0000,20020904 0000,11, ,CFS
SFJ,D,41,M FLOW,20020905 0000,20020905 0000,11, ,CFS
SFJ,D,41,M FLOW,20020906 0000,20020906 0000,12, ,CFS
SFJ,D,41,M FLOW,20020907 0000,20020907 0000,12, ,CFS
SFJ,D,41,M FLOW,20020908 0000,20020908 0000,12, ,CFS
SFJ,D,41,M FLOW,20020909 0000,20020909 0000,12, ,CFS
SFJ,D,41,M FLOW,20020910 0000,20020910 0000,11, ,CFS
SFJ,D,41,M FLOW,20020911 0000,20020911 0000,11, ,CFS
SFJ,D,41,M FLOW,20020912 0000,20020912 0000,11, ,CFS
SFJ,D,41,M FLOW,20020913 0000,20020913 0000,11, ,CFS
SFJ,D,41,M FLOW,20020914 0000,20020914 0000,11, ,CFS
SFJ,D,41,M FLOW,20020915 0000,20020915 0000,11, ,CFS
SFJ,D,41,M FLOW,20020916 0000,20020916 0000,11, ,CFS
SFJ,D,41,M FLOW,20020917 0000,20020917 0000,11, ,CFS
SFJ,D,41,M FLOW,20020918 0000,20020918 0000,11, ,CFS
SFJ,D,41,M FLOW,20020919 0000,20020919 0000,11, ,CFS
SFJ,D,41,M FLOW,20020920 0000,20020920 0000,10, ,CFS
SFJ,D,41,M FLOW,20020921 0000,20020921 0000,10, ,CFS
SFJ,D,41,M FLOW,20020922 0000,20020922 0000,10, ,CFS
SFJ,D,41,M FLOW,20020923 0000,20020923 0000,10, ,CFS
SFJ,D,41,M FLOW,20020924 0000,20020924 0000,10, ,CFS
SFJ,D,41,M FLOW,20020925 0000,20020925 0000,10, ,CFS
SFJ,D,41,M FLOW,20020926 0000,20020926 0000,11, ,CFS
SFJ,D,41,M FLOW,20020927 0000,20020927 0000,11, ,CFS
SFJ,D,41,M FLOW,20020928 0000,20020928 0000,12, ,CFS
SFJ,D,41,M FLOW,20020929 0000,20020929 0000,12, ,CFS
SFJ,D,41,M FLOW,20020930 0000,20020930 0000,12, ,CFS
SFJ,D,41,M FLOW,20021001 0000,20021001 0000,8, ,CFS
